Row	What we need	Read on 2026-09-07	Suspect	Confidence	Evidence / what would settle it
Daily / Activity (Dailies)	the day's activity total	100/100	point_entity.day_point	confirmed	reads 100 in the login burst, line 25. Already wired
Daily / Chaos Delegation	whether today's delegation was sent	used	currencies[2000048]	strong	2000048 is `acceleration_info.cost_currency_id` and is DEBITED on entering a chaos stage (line 81), not on exit. What is not known is the daily allowance | was: 7 daily_achieve rows, scores 1/1/2/1/190/37/3, each with an issued_time from today (line 25). None is obviously a flag. Do ONE delegation and nothing else, then diff
Daily / Other Events	per-event daily state	-	event_mission_entities, mission_condition.condition	weak	`mission_condition` names every mission an action progressed, with its condition_type -- the fastest way to identify any of these | was: event_mission_entities carries score + complete_time per event mission. Which events are live comes from event_schedules
Weekly / Seasonal Event(s)	the season's event missions	5/5 complete	mission_seasson_entities (2 rows), season_pass_missions	weak	the game's own spelling is `seasson`. Two rows only, so this is probably not the whole set
Weekly / (Chaos Progress)	the season's chaos progress	8000/8000	disaster_entities[res_id=disaster_s04].week_clear_score	strong	reads 8000 against a screen showing 8000/8000, but 8000 is not distinctive -- three other seasons read it too. The ceiling is not in the row
Other / Basin of Hyperspace	progress through the 21 days	26/26 (done)	hyperspace_entities (10 rows)	weak	10 rows, line 35. shop_list also holds hyperspace_* products
Other / Zero System Chaos Matrix	progress	-	zero_orb_* (entity, archive, codex, skill, slot)	weak	zero_orb_entity has 17 fields, line 42
Other / Seasonal Event	progress	-	season_entities (2 rows), story_event_entities	weak	
Other / Sortie (21 days)	progress	-	chaos_assault_entity (5 fields), assault_achievement_entities	weak	
(open) shop_list.count	what the field means	-	-	weak	not stock remaining -- see wire_hunt.md. Settle it by capturing a row's count either side of a period rollover with no purchase
(open) shop period	which products reset weekly vs monthly	-	shop_res_data	weak	the Monthly column cannot be filled without it
Monthly / (the month boundary)	when a monthly period began	2026-08-31 18:00 UTC	month_start / month_end	confirmed	Sent once at login. The month rolls at 18:00 UTC on the LAST day, not at midnight on the first, so it cannot be computed. Cached in the snapshot now
(pass) monthly subscription	days left on it	75	issued_limit_entities[subscription_1].expire_time	confirmed	expire_time 1795370400 = 2026-11-22 18:00 UTC, 75.9 days out. `lobby/monthly_subscription_reward` paid 90 Crystals; count/total_count 13, vi1 = the day_id
(open) Activity claim state	whether the Dailies reward was CLAIMED	claimed at 21:25	guide_system/point_reward reply	weak	day_point was ALREADY 100 before Claim All and did not move -- it is the points EARNED. The claim flag is somewhere else; the reply carries only point_entity and the 60 Crystals
(tool) mission_condition	how to identify any mission fast	-	<any action reply>.mission_condition.condition	confirmed	Names every mission an action progressed, grouped by kind (season_pass_mission, daily_achievement, achievement, accumulate_condition, disaster_achievement) with a condition_type. One action names its own missions
Daily / Activity (Dailies)	whether the day's rewards were CLAIMED	claimed at 21:25	not found	weak	day_point is the points EARNED: it read 100 BEFORE Claim All and did not move when the 60 Crystals landed. The reply to `guide_system/point_reward` carries only point_entity and the payout. The tab infers the claim from a +60 Crystal rise on a full day, which is a GUESS -- look for a per-tier claimed flag, `reddot_info` and `guide_system/get_list` are candidates
