Row	What we need	Read on 2026-09-07	Suspect	Confidence	Evidence / what would settle it
Daily / Coffee	whether today's coffee was drunk	drunk	characters.town_data.day_changeable_data.is_coffee_possible	confirmed	WIRED. Flipped true->false on `town/order_coffee` (websocket_debug_20260907_204525.jsonl line 72). The reply also gives 80 Aether. The block arrives at the TOP level and the addon now merges it into the cache | was: WIRED. is_coffee_possible, inverted: the row says Go drink! / Tasty~ | reads false in websocket_debug_20260907_164904.jsonl line 9, and the coffee had been drunk. It is a CAPABILITY, so the row inverts it
Daily / Arkhianon Supply	the daily pass missions, done or not	3 claimed	mission_entities[pass_mission_<season>_01|_02|_04].complete_time	confirmed	WIRED. The three DAILY ids, each claimed alone: _01 DAILY_LOGIN, _02 VISIT, _04 GET_ITEM__ID. `complete_time` is set when the reward is CLAIMED, not when the task is done | was: 23 pass_mission rows in the login burst (line 25); 7 carried a complete_time in the 013232 capture, matching 5 daily + 2 weekly completed. WHICH NN are daily is unknown -- claim one daily mission alone and diff
Daily / Excursions	passes left today	0/5	characters.town_data.day_changeable_data.use_town_visit_count	confirmed	already wired; see excursions.py
Weekly / Nono's Shop	stock left this week	18/20 after 2 buys	shop_list[town_shop_goods_*].count	confirmed	WIRED. count = bought this period; left = max - count. Two buys of _014 read 0->1->2 against 20/20->19/20->18/20 | was: shop_list is CACHED in the snapshot now, so the next capture carries it. town_shop_goods_005 and _006 moved on purchase in total_count only; count did not. See wire_hunt.md, `Reading the shop rows`
Weekly / Arkhianon Supply	the weekly pass missions	6500/10000	season_pass_entity.week_exp	confirmed	WIRED as EXP rather than a mission count: only pass_mission_<season>_15 (CLEAR_INGAME_CONTENTS__ID) of the twelve weekly ids is known. _07 is CAFE_DRINK, period unknown | was: same rows as the daily set; the split is unknown
Weekly / Simulation Challenges	runs left this week	0/3	stage_limit_entities[content_boss].count	confirmed	WIRED. Same shape as a shop row and the same lazy reset | was: 124 rows keyed by stage, each a lifetime clear_count. A WEEKLY allowance is not in them -- look for a separate limit entity; issued_limit_entities and stage_limit_entities are candidates
Weekly / Chaos Currency	Loot Certification Cards held	2	inventory.items[res_id=2000027].amount	confirmed	already wired
Weekly / Delegation Module	copies expiring soon	0 and 0	inventory.period_items[res_id=3920026].value[].end_time	confirmed	already wired
Weekly / Sortie Currency	Reason held	9/9	inventory.items[res_id=2000036].amount	confirmed	already wired
Weekly / Seasonal Accumulated Score	the Great Rift weekly score	300000+/300000	disaster_boss_rank_entities.<season>.<slot>.week_total_score	confirmed	WIRED | was: WIRED. The LIVE season is the row with the latest score_week_id -- past seasons keep their rows, carry higher totals and ask 500000 where this one asks 300000. Display capped at the threshold | reads 1396064 exactly, line 51, against a screen showing 1396064. The threshold is week_total_score_reward = 300000. CACHED in the snapshot already; nothing reads it
Monthly / $hop - Zeronium Shop	monthly stock left	9/10	shop_list[hyperspace_*].count	confirmed	WIRED. hyperspace_10 = Advanced Battle Memory x2 for 20 Zeronium. NOTE the prefix: `hyperspace_*` products are the ZERONIUM shop, not the Basin | was: the Zeronium products have not been located in shop_list
Monthly / $hop - Blackhorn Trade	monthly stock left	368/400	shop_list[chaos_*].count	confirmed	WIRED. chaos_22 = Advanced Battle Memory x5 for 50 Crystal of Discord. A LIFETIME cap of 400: its reset_time has not moved since 2025 | was: not located
Monthly / $hop - Exchange Shop - Prism Module	monthly stock left	unlimited	shop_list[card_factor_*].count	confirmed	WIRED. card_factor_2 = Prism Lens x1 for 20 Prism Film. No cap | was: not located
Other / Arkhianon Supply (42? days)	the pass's own rank	46/70	season_pass_entity.free_reward_rank	confirmed	WIRED | was: season_pass_entity carries grade, exp, free_reward_rank, pay_reward_rank. Cached; nothing reads it
(item) 3310005	name	-	-	confirmed	B-Grade Policy Report: +2 in add_result on buying 2 from town_shop_goods_006, websocket_debug_20260907_164904.jsonl line 109
(item) 3310006	name	-	-	confirmed	A-Grade Policy Report: +1 in add_result on buying 1 from town_shop_goods_005, websocket_debug_20260907_164904.jsonl line 107
(product) town_shop_goods_005	what it sells	-	-	confirmed	A-Grade Policy Report for 30 Policy Point
(product) town_shop_goods_006	what it sells	-	-	confirmed	B-Grade Policy Report for 20 Policy Point each
(product) gacha_duplicate_legend_2	what it sells	-	-	confirmed	Rescue Anchor (2000016) for 150 Moment of the Radiant Traveler (2000012), websocket_debug_20260907_164904.jsonl line 89
(item) 3100002	name	-	-	confirmed	Advanced Battle Memory: added by both the Zeronium and Blackhorn purchases
Weekly / $hop - Memory Archive - Traveler	stock left this week	Cake 3/3, Choconilla 10/10	shop_list[gacha_duplicate_legend_*].count	weak	shop_list is CACHED in the snapshot now, so the next capture carries it. gacha_duplicate_legend_2 read count 5 before a purchase and 1 after, with total_count 55 -> 56
Weekly / Seasonal Shop	stock left	Tear of God 0/1	shop_list[season_pass_*].count	weak	shop_list is CACHED in the snapshot now, so the next capture carries it. 7 season_pass_* rows in shop_list
Monthly / Nono's Shop	monthly stock left	Alignment Material 1/1	shop_list[town_shop_goods_*].count	weak	shop_list is CACHED in the snapshot now, so the next capture carries it. no field yet says which products are monthly and which weekly -- shop_res_data may carry the period
Monthly / $hop - Memory Archive - Traveler	monthly stock left	Anchor 5/5, cores 10/10, stones 100/100, ...	shop_list[gacha_duplicate_legend_*].count	weak	shop_list is CACHED in the snapshot now, so the next capture carries it. as above
(open) shop_res_data	the product DEFINITIONS	-	shop_res_data.<category>.<product_id>	confirmed	Carries product_link_item_id, product_count, limit_count, limit_type (LIMIT_WEEK/LIMIT_MONTH/LIMIT_ACCOUNT/NONE), price_link_item_id, price_count and sort. **This replaces the hand-written shop_stock.PRODUCTS entirely** -- cached in the snapshot now, not yet read by the Checklist
(open) season_pass_missions	the pass missions at LOGIN	23 rows	season_pass_missions.<pass_id>.<mission_id>	confirmed	Nested, not the flat `mission_entities` list -- which is why a snapshot held the 30 content_* achievements and none of the pass rows. Cached now
(open) content_* missions	what they are	30 rows, score 1, never move	mission_entities	confirmed	One-off STORY/CONTENT completion records, not recurring tasks: `content_01_01_01` is chapter 1 stage 1 objective 1. They never budge because they are already done. Nothing on the Checklist wants them
Other / Basin of Hyperspace	progress through the 21 days	26/26	mission_seasson_entities.<season>.<objective>.score	confirmed	WIRED. 26 objectives in hyperspace_02_15, all scored, against a screen reading 26/26. Two Basin seasons run at once and the row takes the LEAST complete. `reward_entities[<season>].count` reads the same 26, so either would serve
Daily / Chaos Delegation	whether today's delegation was sent	used	currencies[2000048]	confirmed	WIRED. No balance to read -- the free entry is granted and spent in one transaction, so `amount` is 0 either way. `last_update` against the day's 18:00 UTC reset is the reading, and one capture showed it on BOTH sides: 13:14 at login, 19:51 after entering a chaos stage
(open) shop_list.count	what the field means	-	-	weak	not stock remaining -- see wire_hunt.md. Settle it by capturing a row's count either side of a period rollover with no purchase
(open) shop period	which products reset weekly vs monthly	-	shop_res_data	weak	the Monthly column cannot be filled without it
Monthly / (the month boundary)	when a monthly period began	2026-08-31 18:00 UTC	month_start / month_end	confirmed	Sent once at login. The month rolls at 18:00 UTC on the LAST day, not at midnight on the first, so it cannot be computed. Cached in the snapshot now
(tool) mission_condition	how to identify any mission fast	-	<any action reply>.mission_condition.condition	confirmed	Names every mission an action progressed, grouped by kind (season_pass_mission, daily_achievement, achievement, accumulate_condition, disaster_achievement) with a condition_type. One action names its own missions
Daily / Activity (Dailies)	whether today's reward was claimed	claimed at 20:44	point_entity.day_id vs today's day index	confirmed	WIRED. `guide_system` / `point_reward` is the claim; its reply pays Crystals and rewrites `point_entity`. Nothing else writes that record and nothing rolls it at reset, so `day_id` is the day the reward was last claimed: equal to today's day index means claimed, lower means untouched. Read off three purpose-made captures -- a login with one activity done and unclaimed (day_id 1346 against today's 1347), the claim itself (-> 1347, 10 Crystals), and a login after (1347). Consistent across all 18 captures. The day index is `weekly_reset.day_index`, epoch 2022-12-31 18:00 UTC
Daily / Activity (Dailies)	the day's activity points	20 at the claim	point_entity.day_point	confirmed	FROZEN AT THE CLAIM, not live. It is the total the last claim was paid against, so on a record from an earlier day it is that day's figure. It read 100 on a login where the day's real total was 20. Only usable alongside a day_id that is today's
